SAMPLE_ID,cyt,zsc
TCGA-US-A77E-01,AHR,1.1651
TCGA-F2-6880-01,AHR,-2.1346
TCGA-2J-AABE-01,AHR,0.4259
TCGA-FB-AAPP-01,AHR,-0.3023
TCGA-M8-A5N4-01,AHR,0.3142
TCGA-RB-A7B8-01,AHR,-0.0247
TCGA-3A-A9IC-01,AHR,0.4205
TCGA-3A-A9IZ-01,AHR,0.7266
TCGA-H8-A6C1-01,AHR,-0.2207
TCGA-IB-AAUV-01,AHR,-0.1281
TCGA-YY-A8LH-01,AHR,0.3897
TCGA-FB-A545-01,AHR,1.1093
TCGA-2J-AAB8-01,AHR,0.7441
TCGA-2J-AABI-01,AHR,-1.3883
TCGA-F2-A44G-01,AHR,-0.0991
TCGA-F2-A8YN-01,AHR,0.94
TCGA-3A-A9IU-01,AHR,-0.4777
TCGA-US-A77J-01,AHR,-1.0623
TCGA-3A-A9IL-01,AHR,-1.992
TCGA-FB-AAPY-01,AHR,-0.3597
TCGA-XD-AAUG-01,AHR,-0.4842
TCGA-FB-A4P5-01,AHR,-0.1961
TCGA-XD-AAUI-01,AHR,-0.3681
TCGA-IB-A5SQ-01,AHR,-0.5716
TCGA-IB-A6UG-01,AHR,0.2307
TCGA-FB-AAQ2-01,AHR,-1.2596
TCGA-HZ-8317-01,AHR,0.2792
TCGA-XD-AAUL-01,AHR,0.4225
TCGA-S4-A8RM-01,AHR,2.1601
TCGA-XD-AAUH-01,AHR,-0.335
TCGA-2J-AABK-01,AHR,0.6143
TCGA-IB-7644-01,AHR,0.8129
TCGA-LB-A9Q5-01,AHR,-1.0571
TCGA-S4-A8RP-01,AHR,0.9114
TCGA-3A-A9I7-01,AHR,-0.3768
TCGA-IB-A5SP-01,AHR,1.075
TCGA-US-A776-01,AHR,-1.2735
TCGA-S4-A8RO-01,AHR,-0.919
TCGA-RB-AA9M-01,AHR,0.3076
TCGA-2J-AAB9-01,AHR,-0.5186
TCGA-3E-AAAY-01,AHR,-0.0133
TCGA-HZ-A49H-01,AHR,-0.2149
TCGA-IB-AAUU-01,AHR,0.4209
TCGA-HV-A5A4-01,AHR,0.7278
TCGA-HZ-7925-01,AHR,0.3698
TCGA-F2-6879-01,AHR,1.5024
TCGA-3A-A9IH-01,AHR,0.3585
TCGA-IB-AAUW-01,AHR,0.5927
TCGA-HZ-7922-01,AHR,0.2968
TCGA-XN-A8T5-01,AHR,0.8102
TCGA-IB-7885-01,AHR,0.5906
TCGA-IB-AAUM-01,AHR,-0.5915
TCGA-2J-AABU-01,AHR,-0.1353
TCGA-PZ-A5RE-01,AHR,0.237
TCGA-HV-A5A5-01,AHR,0.2633
TCGA-IB-7890-01,AHR,0.8572
TCGA-HV-A7OL-01,AHR,-0.7062
TCGA-HZ-A49G-01,AHR,-0.1166
TCGA-IB-AAUP-01,AHR,0.4164
TCGA-IB-A6UF-01,AHR,-0.7213
TCGA-YH-A8SY-01,AHR,-0.4987
TCGA-3A-A9IX-01,AHR,0.9823
TCGA-2J-AAB1-01,AHR,0.4102
TCGA-2J-AAB4-01,AHR,-0.2264
TCGA-HV-AA8V-01,AHR,0.2301
TCGA-2L-AAQI-01,AHR,0.366
TCGA-IB-A5SO-01,AHR,0.3737
TCGA-IB-7647-01,AHR,-0.0415
